id,level,category,en,zh,zh_pinyin,de,es,fr,ja,ja_romaji,pt,ru,notes
36,advanced,Cloud & Cybersecurity,Implementing a zero-trust security architecture requires continuous verification of identity and system posture.,落地零信任安全架构需要对身份标识和系统基线姿态进行持续动态的验证。,Luòdì língxìnrèn ānquán jiàgòu xūyào duì shēnfèn biāoshí hé xìtǒng jīxiàn zītài jìnxíng chíxù dòngtài de yànzhèng.,Die Implementierung einer Zero-Trust-Sicherheitsarchitektur erfordert die kontinuierliche Verifizierung von Identität und Systemstatus.,Implementar una arquitectura de seguridad de confianza cero exige la verificación continua de la identidad y del estado del sistema.,La mise en œuvre d'une architecture de sécurité Zero Trust exige une vérification permanente de l'identité et de la posture du système.,ゼロトラスト・セキュリティ・アーキテクチャの実装には、IDとシステム状態の継続的な検証が不可欠です。,"Zero torasuto sekyuriti ākitekucha no jissō ni wa, aidi to shisutemu jōtai no keizokuteki na kenshō ga fukaketsu desu.",A implementação de uma arquitetura de segurança zero trust requer a verificação contínua da identidade e da postura do sistema.,Внедрение архитектуры безопасности с нулевым доверием требует непрерывной верификации подлинности субъекта и состояния системы.,"Cybersecurity terms: 'Zero Trust' / 'confianza cero' / 'нулевое доверие', along with nominalized structures."
37,advanced,Macroeconomics,The economic repercussions of rapid automation cannot be addressed solely through conventional monetary policy.,自动化迅猛普及所带来的经济冲击，绝非单纯依靠传统的货币政策所能化解。,"Zìdònghuà xùnměng pǔjí suǒ dàilái de jīngjì chōngjī, juéfēi dānchún yīkào chuántǒng de huòbì zhèngcè suǒ néng huàjiě.",Die wirtschaftlichen Auswirkungen einer rasanten Automatisierung lassen sich nicht allein durch konventionelle Geldpolitik bewältigen.,Las repercusiones económicas de una automatización acelerada no pueden mitigarse únicamente mediante la política monetaria convencional.,Les répercussions économiques d'une automatisation rapide ne peuvent être résolues uniquement par la politique monétaire conventionnelle.,急速な自動化がもたらす経済的余波は、従来の金融政策のみで解決できるものではありません。,"Kyūsoku na jidōka ga motarasu keizaiteki yoha wa, jūrai no kin'yū seisaku nomi de kaiketsu dekiru mono dewa arimasen.",As repercussões econômicas da automação acelerada não podem ser solucionadas exclusivamente por meio da política monetária convencional.,Экономические последствия стремительной автоматизации невозможно преодолеть исключительно мерами традиционной денежно-кредитной политики.,Passive potentiality: German 'lassen sich nicht... bewältigen' (cannot be handled); Russian 'невозможно преодолеть'.
38,advanced,Distributed Systems,Distributed consensus algorithms must maintain Byzantine fault tolerance even during severe network partitions.,分布式共识算法即便在面临严重网络分区时，也必须确保拜占庭容错能力。,"Fēnbùshì gòngshí suànfǎ jíbiàn zài miànlín yánzhòng wǎngluò fēnqū shí, yě bìxū quèbǎo Bàizhàntíng róngcuò nénglì.",Verteilte Konsensalgorithmen müssen auch während gravierender Netzwerkpartitionierungen byzantinische Fehlertoleranz gewährleisten.,Los algoritmos de consenso distribuido deben garantizar la tolerancia a fallos bizantinos incluso ante particiones graves de red.,Les algorithmes de consensus distribué doivent maintenir une tolérance aux pannes byzantines même lors de partitions réseau critiques.,分散合意アルゴリズムは、深刻なネットワーク分断時であってもビザンチン耐障害性を維持しなければなりません。,"Bunsan gōi arugorizumu wa, shinkoku na nettowāku bundanji de attemo Bizanchin tai-shōgaisei o iji shinakereba narimasen.",Algoritmos de consenso distribuído devem manter a tolerância a falhas bizantinas mesmo diante de partições severas de rede.,Алгоритмы распределённого консенсуса обязаны сохранять византийскую отказоустойчивость даже в условиях глубокой сетевой изоляции.,"Computer science fundamentals: 'Byzantine fault tolerance', 'byzantinische Fehlertoleranz', 'tolerância a falhas bizantinas'."
39,advanced,Ethics & Technology,The ethics committee emphasized that technological innovation must remain subordinate to human dignity.,伦理委员会着重强调，技术创新必须始终服从于人类尊严。,"Lúnlǐ wěiyuánhuì zhuózhòng qiángdiào, jìshù chuàngxīn bìxū shǐzhōng fúcóng yú rénlèi zūnyán.","Die Ethikkommission betonte mit Nachdruck, dass technologischer Fortschritt der Menschenwürde untergeordnet bleiben muss.",El comité ético recalcó que la innovación tecnológica debe permanecer subordinada a la dignidad humana.,Le comité d'éthique a souligné que l'innovation technologique doit impérativement rester subordonnée à la dignité humaine.,倫理委員会は、技術革新が人間の尊厳に従属し続けなければならないと強く強調しました。,"Rinri iinkai wa, gijutsu kakushin ga ningen no songen ni jūzoku shitsudzukenakereba naranai to tsuyoku kyōchō shimashita.",O comitê de ética enfatizou que a inovação tecnológica deve permanecer subordinada à dignidade humana.,"Комитет по этике подчеркнул, что технологические инновации должны неизменно подчиняться принципу человеческого достоинства.",German dative object 'der Menschenwürde untergeordnet bleiben'; French subjunctive nuance 'doit rester subordonnée'.
40,advanced,History & Sociology,His dissertation challenges the prevailing historiographical consensus regarding the emergence of modern capitalism.,他的博士论文对有关现代资本主义兴起的流行史学共识提出了有力质疑。,Tā de bóshì lùnwén duì yǒuguān xiàndài zīběnzhǔyì xīngqǐ de liúxíng shǐxué gòngshí tíchū le yǒulì zhìyí.,Seine Dissertation hinterfragt den vorherrschenden historiografischen Konsens über die Entstehung des modernen Kapitalismus.,Su tesis doctoral cuestiona el consenso historiográfico dominante sobre el surgimiento del capitalismo moderno.,Sa thèse remet en question le consensus historiographique dominant concernant l'émergence du capitalisme moderne.,彼の博士論文は、近代資本主義の台頭に関する従来の歴史学的定説に異議を唱えています。,"Kare no hakushi ronbun wa, kindai shihonshugi no taitō ni kansuru jūrai no rekishigakuteki teisetsu ni igi o tonaete imasu.",Sua tese desafia o consenso historiográfico predominante acerca do surgimento do capitalismo moderno.,Его диссертация бросает вызов устоявшемуся историографическому консенсусу относительно генезиса современного капитализма.,Academic vocabulary: French idiom 'remet en question'; Russian idiom 'бросает вызов' (casts down a challenge).
41,advanced,Low-Level Systems,Minimizing latency in distributed storage clusters demands meticulous optimization of memory layouts and cache hierarchies.,降低分布式存储集群的延迟，需要对内存布局和缓存层级进行极其精细的优化。,"Jiàngdī fēnbùshì cúnchǔ jíqún de yánchí, xūyào duì nèicún bùjú hé huǎncún céngjí jìnxíng jíqí jīngxì de yōuhuà.",Die Minimierung von Latenzzeiten in verteilten Speicherclustern erfordert eine akribische Optimierung von Speicherlayouts und Cache-Hierarchien.,Minimizar la latencia en clústeres de almacenamiento distribuido exige una optimización minuciosa de la disposición de memoria y las jerarquías de caché.,La minimisation de la latence dans les grappes de stockage distribué requiert une optimisation méticuleuse de l'agencement mémoire et des caches.,分散ストレージクラスタのレイテンシを最小化するには、メモリ配置とキャッシュ階層の綿密な最適化が求められます。,"Bunsan storēji kurasuta no reitenshi o saishōka suru ni wa, memori haichi to kyasshu kaisō no menmitsu na saiteki-ka ga motomeraremasu.",Minimizar a latência em clusters de armazenamento distribuído exige uma otimização meticulosa do layout de memória e das hierarquias de cache.,Минимизация задержек в распределённых кластерах хранения данных требует тщательной оптимизации размещения данных в памяти и иерархии кэшей.,"Low-level systems terms: 'Latenzzeiten' (DE), 'grappes de stockage' (FR), 'latência' (PT), 'кэш-иерархия' (RU)."
42,advanced,Philosophy & Society,The paradox of hyperconnectivity is that ubiquitous communication often exacerbates existential alienation.,高度互联时代的悖论在于，无所不在的即时通讯往往反而加剧了个体在生存意义上的异化。,"Gāodù hùlián shídài de bèilùn zàiyú, wúsuǒbùzài de jíshí tōngxùn wǎngwǎng fǎn'ér jiājù le gètǐ zài shēngcún yìyì shàng de yìhuà.","Das Paradoxon der Hyperkonnektivität besteht darin, dass allgegenwärtige Kommunikation existentielle Entfremdung oft noch verschärft.",La paradoja de la hiperconectividad radica en que la comunicación ubicua a menudo agrava la alienación existencial.,Le paradoxe de l'hyperconnectivité réside dans le fait que la communication omniprésente exacerbe souvent l'aliénation existentielle.,過度な接続性の逆説は、どこにでもあるコミュニケーションがしばしば実存的な疎外感を深刻化させる点にあります。,"Kado na setsuzokusei no gyakusetsu wa, doko ni demo aru komyunikēshon ga shibashiba jitsuzonteki na sogaikan o shinkokuka saseru ten ni arimasu.",O paradoxo da hiperconectividade reside no fato de que a comunicação ubíqua frequentemente agrava a alienação existencial.,"Парадокс гиперподключённости заключается в том, что повсеместная коммуникация нередко усугубляет экзистенциальное отчуждение.","Philosophical phrasing: 'besteht darin, dass...' (DE), 'reside en que...' (ES), 'réside dans le fait que...' (FR), 'заключается в том, что...' (RU)."
43,advanced,Software Engineering,Rigorous code reviews and automated regression testing constitute the cornerstone of resilient software infrastructure.,严谨的代码审查与完备的自动化回归测试，构成了构建高韧性软件基础设施的基石。,"Yánjǐn de dàimǎ shěnchá yǔ wánbèi de zìdònghuà huíguī cèshì, gòuchéng le gòujiàn gāorènxìng ruǎnjiàn jīchǔ shèshī de jīshí.",Gründliche Code-Reviews und automatisierte Regressionstests bilden das Fundament robuster Softwareinfrastruktur.,Las revisiones exhaustivas de código y las pruebas de regresión automatizadas constituyen la piedra angular de una infraestructura de software resiliente.,Des revues de code rigoureuses et des tests de régression automatisés constituent la pierre angulaire d'une infrastructure logicielle résiliente.,厳格なコードレビューと自動回帰テストは、堅牢なソフトウェア基盤の礎を築きます。,"Genkaku na kōdo rebyū to jidō kaiki tesuto wa, kenrō na sofutowea kiban no ishizue o kizukimasu.",Revisões rigorosas de código e testes automatizados de regressão constituem a pedra angular de uma infraestrutura resiliente.,Тщательное код-ревью и автоматизированное регрессионное тестирование служат краеугольным камнем отказоустойчивой инфраструктуры.,"Metaphor 'cornerstone': 'das Fundament' (DE), 'la piedra angular' (ES/PT), 'la pierre angulaire' (FR), 'краеугольный камень' (RU), '礎' (JA ishizue)."
44,advanced,Data Science & Humanities,The synthesis of historical archives with computational linguistics reveals previously imperceptible cultural shifts.,历史档案与计算语言学的跨学科融合，揭示了以往难以察觉的深层文化变迁。,"Lìshǐ dàng'àn yǔ jìsuàn yǔyánxué de kuà xuékē rónghé, jiēshì le yǐwǎng nányǐ chájüé de shēncéng wénhuà biànqiān.",Die Verknüpfung historischer Archive mit Computerlinguistik offenbart bisher unmerkliche kulturelle Verschiebungen.,La síntesis de archivos históricos con la lingüística computacional saca a la luz transformaciones culturales antes imperceptibles.,La synthèse d'archives historiques et de linguistique computationnelle met en lumière des mutations culturelles jusqu'alors imperceptibles.,歴史的アーカイブと計算言語学の統合は、これまで感知できなかった文化の変遷を明らかにします。,"Rekishiteki ākāibu to keisan gengogaku no tōgō wa, kore made kanchi dekinakatta bunka no hensen o akiraka ni shimasu.",A síntese de arquivos históricos com a linguística computacional traz à tona mudanças culturais antes imperceptíveis.,Синтез исторических архивов и компьютерной лингвистики выявляет ранее неощутимые социокультурные сдвиги.,Scholarly idioms: French 'met en lumière'; Spanish 'saca a la luz'; Portuguese 'traz à tona'; German 'offenbart'.
45,advanced,Political Theory,"In deliberative democracies, institutional legitimacy relies upon uninhibited public discourse and transparent governance.",在协商民主体制中，制度合法性取决于畅通无阻的公共讨论与公开透明的施政运作。,"Zài xiéshāng mínzhǔ tǐzhì zhōng, zhìdù héfǎxìng qǔjué yú chàngtōng-wúzǔ de gōnggòng tǎolùn yǔ gōngkāi tòumíng de shīzhèng yùnzuò.",In deliberativen Demokratien beruht institutionelle Legitimität auf ungehindertem öffentlichem Diskurs und transparenter Regierungsführung.,"En las democracias deliberativas, la legitimidad institucional se sustenta en el discurso público sin trabas y la gobernanza transparente.","Dans les démocraties délibératives, la légitimité institutionnelle repose sur un débat public sans entraves et une gouvernance transparente.",熟議民主主義において、制度的正当性は制約のない公開討論と透明性の高い統治に依存しています。,"Jukugi minshushugi ni oite, seidoteki seitōsei wa seiyaku no nai kōkai tōron to tōmeisei no takai tōchi ni izon shite imasu.","Em democracias deliberativas, a legitimidade institucional apoia-se no debate público desimpedido e na governança transparente.",В делиберативных демократиях институциональная легитимность зиждется на беспрепятственном общественном дискурсе и прозрачности власти.,High political register: Russian archaic verb 'зиждется на' (is based upon / rests upon); German 'beruht auf' + dative.
46,fluent,Classical Wisdom,A journey of a thousand miles begins with a single step.,千里之行，始于足下。,"Qiān lǐ zhī xíng, shǐ yú zú xià.",Auch eine Reise von tausend Meilen beginnt mit einem einzigen Schritt.,Un viaje de mil millas comienza con un solo paso.,Un voyage de mille lieues commence toujours par un premier pas.,千里の道も一歩から。,Senri no michi mo ippo kara.,Uma jornada de mil léguas começa com um único passo.,Путь в тысячу ли начинается с первого шага.,Ancient Daoist maxim from Laozi (Tao Te Ching). Chinese classical syntax with archaic preposition '于'; Japanese concise proverb form.
47,fluent,Stoic Philosophy,"Even when the tempest roars most violently, the seasoned helmsman maintains equanimity at the helm.",纵使暴风骤雨席卷海面，老练的舵手亦能在掌舵处处变不惊、气定神闲。,"Zòngshǐ bàofēng-zhòuyǔ xíjuǎn hǎimiàn, lǎoliàn de duòshǒu yì néng zài zhǎngduò chù chùbiànbùjīng, qìdìngshénxián.","Selbst wenn der Sturm am wildesten tobt, bewahrt der erfahrene Steuermann unerschütterliche Gelassenheit am Ruder.","Incluso cuando la tempestad ruge con mayor furia, el timonel experimentado conserva la ecuanimidad al timón.","Même au plus fort de la tourmente, le timonier aguerri conserve une inaltérable sérénité à la barre.",嵐がどれほど激しく吹き荒れようとも、歴戦の舵手は舵の前で泰然自若とした落ち着きを保ちます。,"Arashi ga dorehodo hageshiku fukiare yō tomo, rekisen no dashu wa kaji no mae de taizen jijaku to shita ochitsuki o tamochimasu.","Mesmo quando a tempestade ruge com mais fúria, o timoneiro experiente mantém a equanimidade ao leme.","Даже когда буря бушует с предельной яростью, опытный рулевой сохраняет непоколебимое хладнокровие у штурвала.",Rich idiomatic expressions of serenity: Chinese four-character idioms '处变不惊' and '气定神闲'; Japanese yojijukugo '泰然自若'.
48,fluent,Aesthetics & Perception,To perceive the sublime within the ephemeral is the highest prerogative of the contemplative intellect.,在转瞬即逝的虚妄中洞见崇高，乃是沉思冥想的心灵所享有的至高恩赐。,"Zài zhuǎnshùnjíshì de xūwàng zhōng dòngjiàn chónggāo, nǎi shì chénsī míngxiǎng de xīnlíng suǒ xiǎngyǒu de zhìgāo ēncì.","Das Erhabene im Flüchtigen zu erblicken, ist das vornehmste Vorrecht des kontemplativen Geistes.",Percibir lo sublime en lo efímero constituye la prerrogativa suprema del intelecto contemplativo.,Discerner le sublime dans l'éphémère constitue le plus noble apanage de l'esprit contemplatif.,刹那の移ろいの中に崇高な美を見出すことこそ、瞑想的知性における至高の特権であります。,"Setsuna no utsuroi no naka ni sūkō na bi o miidasu koto koso, meisōteki chisei ni okeru shikō no tokken de arimasu.",Perceber o sublime no efêmero constitui a prerrogativa suprema do intelecto contemplativo.,Узреть возвышенное в мимолётном — высшая прерогатива созерцательного разума.,Philosophical aesthetics: French 'le plus noble apanage'; German 'das vornehmste Vorrecht'; Russian archaic verb 'узреть' (to behold).
49,fluent,Philosophy of Language,"Language is not merely a vehicle for communication, but the very crucible through which thought conceives reality.",语言绝非单纯是传递信息的工具，它更是思想孕育并建构现实世界的熔炉。,"Yǔyán juéfēi dānchún shì chuándì xìnxī de gōngjù, tā gèng shì sīxiǎng yùnyù bìng jiàngòu xiànshí shìjiè de rónglú.","Die Sprache ist nicht bloß ein Kommunikationsmittel, sondern der eigentliche Schmelztiegel, in dem der Gedanke die Wirklichkeit formt.","El lenguaje no es un simple vehículo de comunicación, sino el crisol mismo en el que el pensamiento concibe la realidad.","La langue n'est pas un simple instrument de communication, mais le creuset même au sein duquel la pensée engendre le réel.",言語は単なる伝達手段にとどまらず、思考が現実そのものを紡ぎ出す坩堝（るつぼ）に他なりません。,"Gengo wa tannaru dentatsu shudan ni todomarazu, shikō ga genjitsu sonomono o tsumugidasu rutsubo ni hoka narimasen.","A linguagem não é um mero instrumento de comunicação, mas o próprio cadinho no qual o pensamento concebe a realidade.","Язык — не просто средство коммуникации, но то самое горнило, в котором мысль порождает реальность.","Metaphor of the crucible: 'Schmelztiegel' (DE), 'creuset' (FR), 'crisol' (ES), 'cadinho' (PT), 'горнило' (RU), '坩堝' (JA rutsubo)."
50,fluent,Mastery & Art,"True mastery reveals itself not in the ostentatious display of prowess, but in effortless restraint.",真正的炉火纯青之境，从不在于炫耀技艺的张扬，而在于洗练收放间的举重若轻。,"Zhēnzhèng de lúhuǒchúnqīng zhī jìng, cóng bù zàiyú xuànyào jìyì de zhāngyáng, ér zàiyú xǐliàn shōufàng jiān de jǔzhòngruòqīng.","Wahre Meisterschaft offenbart sich nicht im prahlerischen Zurschaustellen von Können, sondern in müheloser Zurückhaltung.","La verdadera maestría no se revela en el despliegue ostentoso de destreza, sino en la contención serena y sin esfuerzo.","La véritable maîtrise ne se manifeste pas dans l'étalage ostentatoire du talent, mais dans une retenue sans effort.",真の円熟とは、力を見せびらかすことではなく、無駄を削ぎ落とした静かな抑制の中にこそ宿るものです。,"Shin no enjuku to wa, chikara o misebirakasu koto dewa naku, muda o sogiotoshita shizukana yokusei no naka ni koso yadoru mono desu.","A verdadeira maestria não se revela na ostentação do virtuosismo, mas na contenção serena e sem esforço.","Подлинное мастерство проявляется не в показной демонстрации превосходства, а в непринуждённой сдержанности.",Elegance of restraint: Chinese idiom '举重若轻' (handling weighty matters as though they were light); Japanese concept of '円熟' (mellow mastery).
51,fluent,Atmospheric Prose,The subtle interplay of light and shadow transformed the ancient cloister into a sanctuary of silent contemplation.,光影的幽微流转，将这座古老的修道院回廊化为一座引人沉思冥想的静谧圣所。,"Guāngyǐng de yōuwēi liúzhuǎn, jiāng zhè zuò gǔlǎo de xiūdàoyuàn huíláng huà wéi yí zuò yǐn rén chénsī míngxiǎng de jìngmì shèngsuǒ.",Das subtile Wechselspiel von Licht und Schatten verwandelte den uralten Kreuzgang in eine Oase lautloser Einkehr.,El sutil juego de luces y sombras convirtió el antiguo claustro en un santuario de silenciosa contemplación.,Le jeu subtil de l'ombre et de la lumière métamorphosait le cloître séculaire en un sanctuaire de recueillement.,光と影の繊細な綾なすが如き交錯は、古びた回廊を静寂なる瞑想の聖域へと変貌させました。,"Hikari to kage no sensai na ayanasu ga gotoki kōsaku wa, furubita kairō o seijaku naru meisō no seiiki e to henbō sasemashita.",O sutil jogo de luz e sombra transformou o antigo claustro em um santuário de silenciosa contemplação.,Тонкая игра света и тени превратила старинный монастырский клуатр в святилище безмолвного созерцания.,Poetic terms for inner peace: German 'lautlose Einkehr'; French 'recueillement'; Russian 'безмолвное созерцание'; architecture term 'Kreuzgang'/'cloître'.
52,fluent,Epistemology,Striking a balance between steadfast conviction and intellectual humility is the hallmark of enduring wisdom.,在笃定的信念与求索的谦逊之间维系精妙的平衡，正是通向不朽智慧的显著标志。,"Zài dǔdìng de xìnniàn yǔ qiúsuǒ de qiānxùn zhījiān wéixì jīngmiào de pínghéng, zhèng shì tōngxiàng bùxiǔ zhìhuì de xiǎnzhù biāozhì.","Den Spagat zwischen standhafter Überzeugung und intellektueller Demut zu meistern, ist das Kennzeichen dauerhafter Weisheit.",Hallar el equilibrio entre la convicción inquebrantable y la humildad intelectual constituye el sello distintivo de la sabiduría perdurable.,Trouver un juste équilibre entre conviction inébranlable et humilité intellectuelle est la marque d'une sagesse durable.,揺るぎない信念と知的な謙虚さとの間で均衡を保つことこそ、真の叡智が持つ永遠の証左であります。,"Yuruginai shin'nen to chiteki na kenkyo-sa to no aida de kinkō o tamotsu koto koso, shin no eichi ga motsu eien no shōsa de arimasu.",Encontrar o equilíbrio entre a convicção inabalável e a humildade intelectual é a marca registrada da sabedoria duradoura.,Умение балансировать между твёрдой убеждённостью и интеллектуальным смирением — непреложный признак подлинной мудрости.,German colloquial yet literary idiom 'den Spagat meistern' (to balance competing demands); Japanese '証左' (testament/proof).
53,fluent,Philosophy of History,"History does not repeat itself verbatim, but it often rhymes through recurring systemic echoes.",历史虽不会一字不差地重演，却往往在往复回荡的系统律动中押下相似的韵脚。,"Lìshǐ suī bù huì yízì-bùchā de chóngyǎn, què wǎngwǎng zài wǎngfù huídàng de xìtǒng lǜdòng zhōng yā xià xiāngsì de yùnjiǎo.","Geschichte wiederholt sich nicht wortwörtlich, doch sie reimt sich oft in wiederkehrenden systemischen Echos.","La historia no se repite al pie de la letra, pero a menudo rima a través de ecos sistémicos recurrentes.","L'histoire ne se répète jamais mot pour mot, mais elle rime souvent au gré d'échos systémiques récurrents.",歴史は寸分違わず繰り返されることはないものの、構造的な反響を通じてしばしば韻を踏むものです。,"Rekishi wa sunbun tagawazu kurikaesareru koto wa nai mono no, kōzōteki na hankyō o tsūjite shibashiba in o fumu mono desu.","A história não se repete ao pé da letra, mas costuma rimar por meio de ecos sistêmicos recorrentes.","История не повторяется дословно, однако нередко рифмуется в повторяющихся системных отголосках.","Famous aphorism attributed to Mark Twain: 'rhymes' rendered as '押韵' (ZH), 'reimt sich' (DE), 'rima' (ES/PT), 'rime' (FR), '韻を踏む' (JA), 'рифмуется' (RU)."
54,fluent,Mathematics & Beauty,The profound beauty of mathematics lies in its capacity to articulate eternal truths through austere elegance.,数学之深邃魅力，正在于其能够以至简质朴的优雅，清晰勾勒出放之四海而皆准的永恒真理。,"Shùxué zhī shēnsuì mèilì, zhèng zàiyú qí nénggòu yǐ zhìjiǎn zhìpǔ de yōuyǎ, qīngxī gōulè chū fàngzhīsìhǎi-érjiēzhǔn de yǒnghéng zhēnlǐ.","Die tiefe Schönheit der Mathematik liegt in ihrer Fähigkeit, ewige Wahrheiten mit schlichter Eleganz zum Ausdruck zu bringen.",La profunda belleza de las matemáticas reside en su capacidad para articular verdades eternas con austera elegancia.,La profonde beauté des mathématiques réside dans son aptitude à énoncer des vérités éternelles avec une sobre élégance.,数学の深遠な美しさは、無駄を削ぎ落とした優美さをもって永遠の真理を紡ぎ出す力にあります。,"Sūgaku no shin'en na utsukushisa wa, muda o sogiotoshita yūbisa o motte eien no shinri o tsumugidasu chikara ni arimasu.",A profunda beleza da matemática reside em sua capacidade de articular verdades eternas com austera elegância.,Глубокая красота математики кроется в её способности выражать вечные истины со строгой элегантностью.,Expression of essence: German verbal phrase 'zum Ausdruck bringen'; French 'sobre élégance'; Russian 'кроется в' (lies concealed within).
55,fluent,Existential Philosophy,"When confronted with existential ambiguity, one must cultivate resilience rather than cling to illusory certainty.",当面对生存本真的虚妄与未定时，人当在砥砺中铸就坚韧，而非盲目依附于虚幻的确定性。,"Dāng miànduì shēngcún běnzhēn de xūwàng yǔ wèidìng shí, rén dāng zài dǐlì zhōng zhùjiù jiānrèn, ér fēi mángmù yīfù yú xūhuàn de quèdìngxìng.","Im Angesicht existenzieller Ungewissheit gilt es, Widerstandskraft zu kultivieren, statt sich an trügerische Gewissheiten zu klammern.","Ante la ambigüedad existencial, es preciso cultivar la resiliencia en lugar de aferrarse a certezas ilusorias.","Confronté à l'ambiguïté existentielle, il convient de cultiver la résilience plutôt que de s'accrocher à de trompeuses certitudes.",実存的な不条理に直面したとき、幻想の確実性に縋るのではなく、自らの強靭さを培わねばなりません。,"Jitsuzonteki na fujōri ni chokumen shita toki, gensō no kakujitsusei ni sugaru no dewa naku, mizukara no kyōjin-sa o tsuchikawaneba narimasen.","Diante da ambiguidade existencial, cumpre cultivar a resiliência em vez de se apegar a certezas ilusórias.","Сталкиваясь с экзистенциальной неопределённостью, надлежит взращивать стойкость, а не цепляться за иллюзорную уверенность.","Deontic impersonal modalities: German 'gilt es... zu', French 'il convient de', Portuguese 'cumpre', Russian 'надлежит'."
56,fluent,Rhetoric & Time,"Words once uttered into the ether cannot be recalled, yet their reverberations may echo across generations.",一言既出，驷马难追；其在虚空激荡的余音，更可绵延数代而不绝。,"Yī yán jì chū, sì mǎ nán zhuī; qí zài xūkōng jīdàng de yúyīn, gèng kě miányán shù dài ér bù jué.","Einmal in den Äther gesprochene Worte lassen sich nicht zurückholen, doch ihr Nachhall kann über Generationen hinweg fortwirken.","Las palabras pronunciadas en el éter no pueden retirarse, mas sus resonancias pueden reverberar a lo largo de generaciones.","Les paroles une fois libérées dans l'éther ne sauraient être rappelées, mais leur écho peut traverser les générations.",一度大気へと放たれた言の葉を取り戻す術はありませんが、その反響は何世代にもわたって響き渡ることがあります。,"Ichido taiki e to hanatareta kotonoha o torimodosu sube wa arimasen ga, sono hankyō wa nan-sedai ni mo watatte hibikiwataru koto ga arimasu.","Palavras uma vez lançadas ao éter não podem ser recolhidas, contudo sua reverberação pode ecoar por gerações.","Слово, однажды выпущенное в эфир, вернуть невозможно, но его отголоски способны звучать сквозь поколения.",Classical idioms: Chinese ancient saying '一言既出，驷马难追'; Japanese poetic term for words '言の葉' (kotonoha); French literary conditional 'ne sauraient être'.
57,fluent,Debate & Oratory,He articulated the critique with such consummate eloquence that even his staunchest adversaries conceded the point.,他的剖析言辞之精当、论辩之雄浑，令最为顽固的论敌也不得不心悦诚服。,"Tā de pōuxī yáncí zhī jīngdāng, lùnbiàn zhī xiónghún, lìng zuìwéi wángù de lùndí yě bùdébù xīnyuèchéngfú.","Er trug die Kritik mit solch vollendeter Beredsamkeit vor, dass selbst seine erbittertsten Widersacher den Punkt einräumten.",Articuló la crítica con tan consumada elocuencia que incluso sus más acérrimos adversarios concedieron la razón.,Il formula sa critique avec une éloquence si consommée que même ses plus farouches détracteurs durent en convenir.,彼は非の打ち所のない雄弁さで批判を展開したため、最も手強い論敵ですらその主張を認めざるを得ませんでした。,"Kare wa hi no uchi dokoro no nai yūbensa de hihan o tenkai shita tame, mottomo tegowai ronteki de sura sono shuchō o mitomezaru o emasen deshita.",Ele articulou a crítica com tão consumada eloquência que até seus mais ferrenhos adversários deram o braço a torcer.,"Он сформулировал критику с настолько виртуозным красноречием, что даже самые непримиримые противники признали его правоту.",Idiomatic concession: Chinese '心悦诚服' (convinced in heart and mind); Portuguese idiom 'deram o braço a torcer' (yielded the point); Japanese '認めざるを得ない'.
58,fluent,Scientific Discovery,Serendipity favors only those minds that have been painstakingly prepared through relentless curiosity.,偶然的机缘只垂青于那些在漫长求索中被不懈好奇心磨砺以须的深邃心智。,Ǒurán de jīyuán zhǐ chuíqīng yú nàxiē zài màncháng qiúsuǒ zhōng bèi búxiè hàoqíxīn mólì-yǐxū de shēnsuì xīnjì.,"Der glückliche Zufall begünstigt nur jene Geister, die durch unermüdliche Neugier akribisch vorbereitet wurden.",La serendipia solo favorece a aquellas mentes que han sido minuciosamente preparadas mediante una curiosidad incansable.,Le hasard ne favorise que les esprits qui ont été minutieusement préparés par une curiosité sans relâche.,セレンディピティの僥倖は、飽くなき探究心によって丹念に研鑽を積んだ精神にのみ微笑みかけるものです。,"Serendipiti no gyōkō wa, akunaki tankyūshin ni yotte tan'nen ni kensan o tsunda seishin ni nomi hohoemikakeru mono desu.",A serendipidade só favorece as mentes que foram minuciosamente preparadas por uma curiosidade incansável.,"Счастливая случайность благоволит лишь тем умам, которые были кропотливо подготовлены неутолимой любознательностью.","Echoing Pasteur's 'Dans les champs de l'observation, le hasard ne favorise que les esprits préparés'. Highly elevated vocabulary across all 8 languages."
